Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14103997,LEER BRAND PRODUCT,LEER 100XR,100XR 66FF15,100XL 66FF15,2580,J7 ,J7 MAGNETIC GREY,20,,RW 6715 25 DS DT,RW 6715 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ FF15,RGL DOOR 65X19 XL
14104142,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 69FS17,REBEL 69FS17,2104,B3 ,B3 ARTISAN BLUE FORD M7440,30,,"SLIDER 16x64"" 15D 1/2 DS","SLIDER 16x64"" 15D 1/2 PS",PROLOCK REMOTE KIT,,FORD SUPER DUTY 2017
14104146,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 66GS14,SUPER SPORT 66GS14,1865,GBA,GBA BLACK WA8555,30,,00-01 TOYOTA TUNDRA POPOUT DS,FIXED WINDOW DS CHEVY/GMC SB,TG/SL LIFT TAB-BLK E-COAT,,TAILGATE RUBBER BUMPER-TG
14104160,LEER BRAND PRODUCT,LEER 100XR,100XR 58GSO19,100XL 58GSO19,,GBA,GBA BLACK WA8555,20,1GCUYDED8MZ4399416,RW 5515 25 DS DT,RW 5515 25 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL GS19,RGL DOOR 63X16X20 GS19
14105989,LEER BRAND PRODUCT,LEER 100XR,100XR 52TCDC16,100XL 52TCDC16,2571,6X3,6X3 LUNAR ROCK,20,,RW 5013 0523 DS DT,RW 5013 0523 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ TCDC16,RGL DOOR 56X16 XL/XR GC15/TC16
14106545,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF15,100XL 56FF15,2577,D4 ,D4 LUCID RED TRI-COAT,20,1STFW1E16LFC79326,RW 5515 25 DS DT,RW 5515 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ FF15,RGL DOOR 65X19 XL
14106559,LEER BRAND PRODUCT,LEER 100XR,100XR 58GS14,100XL 58GS14,2605,G1E,G1E SIREN RED 405Y 928917FL,30,,RW 5815 20 DS DT,RW 5815 20 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ GS14,RGL DOOR 60.8X18.4 XL 14+ GM
14114316,LEER BRAND PRODUCT,LEER 100XR,100XR 58GS14,100XL 58GS14,2605,GAZ,GAZ SUMMIT WHITE WA8624,30,,RAD SLIDER 5815 0820 R3.3 DS,RAD SLIDER 5815 0820 R3.3 PS,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ GS14,RGL DOOR 60.8X18.4 XL 14+ GM
14114845,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56FF21,REBEL 56FF21,2929,YZ ,YZ WHITE M6466A B9145,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,DOOR SKIRT FF21 REBEL,FORD F150 2015 TG WINDOW
14114848,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 66TTDC14,SPORT HI LINER 66TTDC14,,40,040 SUPER WHITE W8430,30,5TFUY5F17KX783173,WINDOOR SLIDER 14X60X15DEG,WINDOOR SLIDER 14X60X15DEG,WINDOOR HANDLE PRM( ) 1-1/2IN,,FORD F150 2009 HL TG
14114849,SNUGTOP BRAND PRODUCT,SNUGTOP XTRA VISION,XTRA VISION 56TT14,REBEL 56TT14,1857,40,040 SUPER WHITE W8430,30,,15-1/8X58-7/16 3.5/24.8,15-1/8X58-7/16 3.5/24.8,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TUNDRA 2014 TG WINDOW
